"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,-1.3510347425419,0.961260907198376,-1.40548183372975,0.159878047555157,0.229535961759075
"LOC729737",0.827229403528426,-3.54950776266887,2.58912420806764,-1.37092988880514,0.170396812980651,0.24197819281553
"LOC100133331",2.92946853859114,-0.573100599962316,1.40068720913281,-0.409156731228474,0.682424645463336,0.749897680660925
"LOC100288069",0.161677757487436,-2.42087924762819,5.6521656626051,-0.428310030550732,0.66842541712837,NA
"LINC00115",5.63791128790859,-4.39973995269202,1.02226102892713,-4.30393004153701,1.67794668030596e-05,5.92464034541846e-05
"LINC01128",14.0115045522156,-1.92672088784293,0.699936958582417,-2.75270631764483,0.00591048909634492,0.0129991430957367
"LINC02593",3.2648829566745,0.411390447090933,1.45547475299873,0.282650349134082,0.777444880356353,0.827518339466395
"SAMD11",11.5292645667998,-1.5832553745549,0.997865395346399,-1.58664222843933,0.112593697580735,0.171275602565585
"NOC2L",102.47067372412,-0.019042957728275,0.479260336689416,-0.0397340574014906,0.968305149227655,0.975879059317066
"KLHL17",17.3207213062376,-1.22157675268523,0.755350843317083,-1.61723093777289,0.105828440518333,0.162467529840253
"PLEKHN1",6.8697960533128,-2.33020395843541,1.04517937884048,-2.22947754769189,0.0257821475692774,0.047885630545235
"PERM1",2.37352673898891,-3.67342591207587,1.63832341381583,-2.24218605502321,0.0249493500384731,0.0465549727522023
"HES4",9.36480996835079,1.35470754144363,1.38997011120142,0.974630699269274,0.329743479932786,0.417089839342602
"ISG15",11.1282425628502,-3.14291166190073,0.76194906159922,-4.12483172471427,3.71005910360365e-05,0.000124795881883163
"AGRN",472.729475381004,-0.849550585829189,0.82162241281463,-1.03399149363378,0.301140139923728,0.386994733107968
"LOC100288175",50.9219305316492,-7.1205507156136,0.756220457099124,-9.41597208693371,4.68724825893143e-21,7.51739689122294e-20
"C1orf159",17.8318446326732,1.9411235710813,1.07068113879856,1.81298007477696,0.0698348945487752,0.11355826061172
"SDF4",268.980641664825,-0.587073349234081,0.413757425080414,-1.4188829339316,0.155933148551847,0.224766959248598
"B3GALT6",39.5423569436177,1.96273038217395,0.923445865343361,2.12544173495666,0.0335497709570941,0.0604444504836661
"C1QTNF12",1.75687519823926,-2.99298632214279,2.07320850105912,-1.44364945475276,0.148837606134275,0.216175674786541
"UBE2J2",68.7602497284074,-2.89116937238072,0.417618502545542,-6.92299156947776,4.42204094900028e-12,3.13439210203265e-11
"SCNN1D",6.18404703459958,1.87201375771125,1.44119555605133,1.29893111996564,0.193967568678646,0.269322640565309
"ACAP3",91.7424408870164,-3.06490678167337,0.467253168285753,-6.55941358924933,5.40197852218853e-11,3.46839870993895e-10
"SNORD167",0.999671998667385,-3.4979316880687,3.50711345556939,-0.997381958805437,0.318579145011505,0.40546436637828
"PUSL1",15.5625954504167,1.72600360197996,1.18644323420053,1.45477133016229,0.145732577729173,0.212437019347493
"INTS11",85.2116145423033,-0.14477481804429,0.440380853729046,-0.328749119809296,0.742345323741505,0.799314143801925
"CPTP",24.3944487165891,2.27848892437169,1.10512747475476,2.06174308070415,0.0392322026875069,0.0693105286614984
"TAS1R3",1.80752106343895,-1.43134529449175,1.9560959168364,-0.731735740651546,0.464329877189426,0.550568544268159
"DVL1",113.488665241251,0.116097064673659,0.577097500922961,0.201174090145917,0.84056245038653,0.878827636891542
"MXRA8",10.2519822922125,0.519413690822053,1.16615105456626,0.44540858475255,0.656024509403871,0.727565587641437
"AURKAIP1",98.4035963952437,2.30933307658628,0.7139129299549,3.23475451933917,0.00121747355673138,0.00314964573022697
"CCNL2",176.365871154829,-0.942856030426418,0.385523086815508,-2.44565387306525,0.0144589735361974,0.0288115790162356
"LOC148413",26.9532038789407,-0.450477722404703,0.596228654036428,-0.755545241502567,0.449921897540156,0.537108395901423
"MRPL20",90.7659898554144,1.30485649116064,0.615410697163229,2.12030193361189,0.0339805907133022,0.0611916263419457
"VWA1",25.769794446892,3.79131503043757,1.3200159133026,2.872173730809,0.00407658788316439,0.00935271498047855
"ATAD3B",2.67102763122135,0.867304157823018,1.46747015342633,0.59101996439109,0.554507044281937,0.635178565604051
"ATAD3A",40.3213745565421,0.479384302096797,0.631843559505166,0.758707269996122,0.448027687026984,0.535183293019977
"TMEM240",0.364594245829719,-0.453702199120753,3.01750476427536,-0.150356746571603,0.880483164498308,NA
"SSU72",205.707960575265,-2.88658322833215,0.304408599016478,-9.48259424227335,2.48038377333122e-21,4.06815047354129e-20
"FNDC10",8.73974872528769,3.05606506918624,1.34511055183119,2.27198059298977,0.0230876825198326,0.0435245040336683
"MIB2",42.9861412755522,-2.83207900942283,0.734598081887009,-3.85527689120545,0.000115598714928994,0.000360821774128604
"CDK11B",62.1194199165836,-3.52925207092825,0.492001167250096,-7.17325954865924,7.32328226901494e-13,5.5839109136461e-12
"SLC35E2B",51.9146426969214,-1.80810628018145,0.461310083698537,-3.91950305028024,8.87317383292357e-05,0.00028241100053542
"CDK11A",49.8915945039121,-4.2406508841732,0.510170311384671,-8.31222591660322,9.39233982347055e-17,1.04386794353835e-15
"SLC35E2A",19.7184627703965,-1.2633324121037,0.689854143415769,-1.83130365188269,0.0670552328826529,0.109600920312605
"NADK",87.8442966613823,-1.0461432329053,0.426705857153731,-2.45167300932643,0.0142193811916379,0.0283827585187952
"GNB1",471.183507668498,-1.48982826594724,0.254400724453148,-5.85622650701852,4.73502323205828e-09,2.50491625679242e-08
"CALML6",0.22826103419672,-1.44190725719383,4.69732542690482,-0.306963458170267,0.75887118643996,NA
"TMEM52",0.232885534061855,-3.03606475672875,3.6239233213252,-0.837783939539459,0.402152060357128,NA
"GABRD",0.204577039418333,-2.01544071058423,7.09303246238039,-0.284143731369286,0.776300234693113,NA
"PRKCZ",17.0790952330357,-2.48366508742729,0.744651874455249,-3.33533718590881,0.00085196026816637,0.0022795431050904
"PRKCZ-AS1",4.37669298237434,-2.71346108320565,1.36623860344448,-1.98608140361767,0.0470242858070578,0.0808043898520012
"FAAP20",25.6747111650181,0.716566166595915,0.80321866585081,0.89211841938072,0.372329463100968,0.46075998347608
"SKI",61.7031019488616,-2.2048413658528,0.63839318709243,-3.45373573909017,0.000552878851850585,0.0015342161094244
"MORN1",7.82617638763138,-0.302992919944703,0.980484094996937,-0.309023799050661,0.757303423232838,0.810700841359851
"LOC100129534",2.79648490909397,1.51578506367871,1.58810483265084,0.954461590012657,0.339850043018447,0.427680157492377
"RER1",144.569441998106,0.378011595237196,0.346359614938459,1.09138473116839,0.275103628160213,0.359336388535042
"PEX10",25.2726514862021,0.144409004525625,0.741777964607975,0.194679555629486,0.845643817919196,0.882926013435205
"PLCH2",0.348840317079689,-4.54125044707689,4.69634918233794,-0.966974615975246,0.333556723437154,NA
"PANK4",21.4249909400767,-0.578085637666965,0.670550073571567,-0.862106590471154,0.388628865061219,0.476509134225063
"PRXL2B",0.457022856521576,-0.0265027640103292,3.27743376860356,-0.00808643770751816,0.993548026517622,NA
"TTC34",0.396536912090521,-3.69135482349454,6.08501624587782,-0.60663023307377,0.54409633169879,NA
"PRDM16",41.3002850587061,-12.4014369274057,1.45358676679479,-8.53161105391138,1.44323576421378e-17,1.71295523490291e-16
"ARHGEF16",10.1670844690703,0.162946723546559,0.965134623485281,0.168833155066107,0.865927878692258,0.898489556243575
"MEGF6",21.0666104892755,2.57958449205618,1.37710694557626,1.87319111296526,0.0610419990901289,0.101120348024223
"TPRG1L",61.1330402628981,0.204003925468597,0.533577710594332,0.382332172836389,0.702214993614788,0.766767937583972
"WRAP73",23.4927643548228,2.42424953228725,1.08453583267789,2.23528763111624,0.0253984715693997,0.0472654053538743
"TP73",1.64697723492778,-1.73750142801025,1.69620785936107,-1.02434463937971,0.30567252043416,0.391759672990051
"TP73-AS1",26.4876291206945,-0.119577150184785,0.697723180418783,-0.171381937049896,0.863923456797207,0.896776967102119
"SMIM1",0.386332021041552,-1.28050764446969,3.65783580018423,-0.350072478487198,0.726284304633359,NA
"LRRC47",63.2024135884046,-0.817688992095567,0.485354133217873,-1.68472654528423,0.0920413425414668,0.144520972012854
"CEP104",60.8087823726371,-2.58684731361296,0.430104723721332,-6.0144592024732,1.80488213482838e-09,9.96420768988043e-09
"DFFB",4.68293949203904,1.55566172456433,1.41327718457469,1.10074778079184,0.271006444538992,0.354868829796816
"C1orf174",25.3319037386725,-0.417824092434007,0.532939893167099,-0.783998529273172,0.433040973288357,0.520224001096411
"LINC01134",0.738979681996471,-4.44872565983822,3.0091471292462,-1.47840084540919,0.139300519266447,0.204432924220759
"NPHP4",22.6766094664615,-1.44049996653082,0.714484373608186,-2.01613921835157,0.0437854200724168,0.0761162859586201
"KCNAB2",10.6516127860017,-0.250053980582662,0.932163686389055,-0.268251149700223,0.788506005439054,0.83688972472568
"CHD5",0.753317182355555,-6.30892681941178,3.74834758769787,-1.68312214163856,0.0923514490000047,0.144948015959128
"RPL22",488.714575428981,1.21919427935975,0.564052450568266,2.16149097150708,0.0306574336294707,0.0558356038455286
"LOC102724450",2.42299149556206,-0.145633902134586,1.63151752095187,-0.0892628490128745,0.928873018363668,0.946934784176023
"RNF207",42.3050772237869,-0.311072922476166,0.720289408086352,-0.431872132206715,0.665834350100357,0.735975678584211
"ICMT",163.80035870489,2.02667467057184,0.438193127097768,4.62507178968067,3.74468678768137e-06,1.44100779346767e-05
"LINC00337",1.82381838924167,-1.58565627185058,1.82263938006752,-0.869978059945043,0.384312394317484,0.472588615593904
"GPR153",3.03973737969155,-1.39967556804108,1.6544177387483,-0.846023066157431,0.397539876737827,0.486063231678481
"ACOT7",87.9160169891089,0.397667887712584,0.3923988108185,1.01342786152459,0.310855836919627,0.397168637427013
"HES2",0.349210177425191,-2.36834496542802,3.19133881427125,-0.742116429266956,0.45801679647644,NA
"ESPN",2.46458948865701,-6.90743521858204,2.3390671422524,-2.9530726561062,0.00314627900897347,0.00739923063456036
