,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WASH7P,11.28759206,0.868501172,0.900675237,0.964277841,0.334906648,0.999963031
LOC729737,0.827229404,-2.434918606,2.656667357,-0.916531232,0.359388334,0.999963031
LOC100133331,2.929468539,-0.666071958,1.157816963,-0.575282605,0.565100184,0.999963031
LOC100288069,0.161677757,-2.777001033,5.686281373,-0.488368558,0.625288809,0.999963031
LINC00115,5.637911288,1.848443479,1.360391392,1.358758583,0.174223102,0.999963031
LINC01128,14.01150455,-0.687610677,0.615544064,-1.11707791,0.263961015,0.999963031
LINC02593,3.264882957,-0.050702303,1.042079516,-0.048654927,0.961194296,0.999963031
SAMD11,11.52926457,-0.352560285,0.757591975,-0.465369615,0.64166679,0.999963031
NOC2L,102.4706737,0.046863668,0.421533096,0.11117435,0.911478091,0.999963031
KLHL17,17.32072131,-0.377259724,0.710762351,-0.530781806,0.59556999,0.999963031
PLEKHN1,6.869796053,-0.565727777,0.982751937,-0.575656741,0.564847221,0.999963031
PERM1,2.373526739,-1.249964722,1.375572997,-0.90868658,0.36351559,0.999963031
HES4,9.364809968,-0.419434613,0.88196707,-0.475567203,0.634382745,0.999963031
ISG15,11.12824256,-1.224454546,0.742438154,-1.649234404,0.099099622,0.999963031
AGRN,472.7294754,0.364014117,0.817917912,0.445049695,0.656283842,0.999963031
LOC100288175,50.92193053,1.377597978,0.876681329,1.571378256,0.116094814,0.999963031
C1orf159,17.83184463,-0.289734577,0.475567725,-0.60923936,0.542365794,0.999963031
SDF4,268.9806417,0.07350689,0.397514315,0.184916333,0.85329466,0.999963031
B3GALT6,39.54235694,0.276601262,0.419524647,0.659320649,0.509689885,0.999963031
C1QTNF12,1.756875198,-1.759844275,1.929556539,-0.912045975,0.361744516,0.999963031
UBE2J2,68.76024973,-0.084375232,0.417142642,-0.202269496,0.839706046,0.999963031
SCNN1D,6.184047035,0.397587349,0.993696356,0.400109497,0.689075869,0.999963031
ACAP3,91.74244089,0.05618886,0.495981934,0.113288117,0.909802138,0.999963031
SNORD167,0.999671999,-1.260654742,3.486684896,-0.361562567,0.717678942,0.999963031
PUSL1,15.56259545,0.578927499,0.693903853,0.834305065,0.404109098,0.999963031
INTS11,85.21161454,0.294144921,0.370414,0.794097743,0.427138531,0.999963031
CPTP,24.39444872,-0.413106565,0.496275976,-0.832412983,0.405175877,0.999963031
TAS1R3,1.807521063,1.207203214,1.80533764,0.668685562,0.50369608,0.999963031
DVL1,113.4886652,0.003090054,0.502697251,0.006146949,0.995095475,0.999963031
MXRA8,10.25198229,-0.397117157,0.859693435,-0.4619288,0.64413238,0.999963031
AURKAIP1,98.4035964,-0.487719484,0.452707149,-1.077339921,0.281328434,0.999963031
CCNL2,176.3658712,-0.113469676,0.368252856,-0.308129793,0.757983572,0.999963031
LOC148413,26.95320388,-0.017060888,0.449157144,-0.037984229,0.969700257,0.999963031
MRPL20,90.76598986,-0.153068215,0.483126898,-0.316828177,0.751373982,0.999963031
VWA1,25.76979445,-0.130358176,0.624403297,-0.208772402,0.834625917,0.999963031
ATAD3B,2.671027631,0.833150714,0.993353251,0.838725513,0.401623358,0.999963031
ATAD3A,40.32137456,0.167446493,0.511384658,0.32743746,0.743337038,0.999963031
TMEM240,0.364594246,0.679459468,2.947932071,0.230486813,0.817713509,0.999963031
SSU72,205.7079606,-0.018664107,0.307351569,-0.060725596,0.951577746,0.999963031
FNDC10,8.739748725,-0.459071758,0.710115448,-0.646474823,0.517971897,0.999963031
MIB2,42.98614128,0.582300869,0.776431061,0.749971116,0.453272101,0.999963031
CDK11B,62.11941992,0.482038012,0.525609523,0.917102889,0.359088727,0.999963031
SLC35E2B,51.9146427,0.144247702,0.437022606,0.3300692,0.741347675,0.999963031
CDK11A,49.8915945,0.11188912,0.562011321,0.199086951,0.842194729,0.999963031
SLC35E2A,19.71846277,0.593649669,0.633912138,0.936485726,0.349023158,0.999963031
NADK,87.84429666,0.406809767,0.396742872,1.025373853,0.305186821,0.999963031
GNB1,471.1835077,0.082718054,0.246689829,0.335311975,0.737389762,0.999963031
CALML6,0.228261034,-3.488263692,4.74538309,-0.735085793,0.462287246,0.999963031
TMEM52,0.232885534,-0.697632508,3.502955174,-0.19915542,0.842141171,0.999963031
GABRD,0.204577039,-4.009987771,7.111387531,-0.563882611,0.572834025,0.999963031
PRKCZ,17.07909523,0.249171908,0.728723843,0.341929128,0.732404228,0.999963031
PRKCZ-AS1,4.376692982,-0.482108821,1.549063701,-0.31122595,0.755628857,0.999963031
FAAP20,25.67471117,-0.148551082,0.541205815,-0.274481682,0.783714479,0.999963031
SKI,61.70310195,0.630113066,0.643337056,0.979444695,0.327360302,0.999963031
MORN1,7.826176388,1.245728356,0.761616195,1.635637955,0.101915382,0.999963031
LOC100129534,2.796484909,0.939267182,1.247027034,0.753205149,0.451326646,0.999963031
RER1,144.569442,-0.150818038,0.275080163,-0.548269405,0.583506932,0.999963031
PEX10,25.27265149,-0.320049287,0.49426821,-0.647521489,0.517294492,0.999963031
PLCH2,0.348840317,0.220769761,4.629916243,0.047683316,0.961968631,0.999963031
PANK4,21.42499094,-0.068143363,0.573861591,-0.118745293,0.905477152,0.999963031
PRXL2B,0.457022857,0.233965204,3.334737533,0.070160006,0.944066307,0.999963031
TTC34,0.396536912,0.21505607,6.055333774,0.035515147,0.971668968,0.999963031
PRDM16,41.30028506,-0.827863258,1.358197278,-0.609530936,0.542172574,0.999963031
ARHGEF16,10.16708447,0.485827361,0.786173273,0.617964738,0.536598583,0.999963031
MEGF6,21.06661049,-0.004577462,0.775871047,-0.005899771,0.995292691,0.999963031
TPRG1L,61.13304026,0.008093539,0.391578196,0.020669024,0.983509679,0.999963031
WRAP73,23.49276435,-0.067368992,0.465175416,-0.144824918,0.884849108,0.999963031
TP73,1.646977235,-1.620090437,1.915203898,-0.845910161,0.397602864,0.999963031
TP73-AS1,26.48762912,0.095318518,0.561070122,0.169886996,0.865099008,0.999963031
SMIM1,0.386332021,0.212923841,3.584911828,0.059394443,0.952637939,0.999963031
LRRC47,63.20241359,-0.10555042,0.428452118,-0.246352896,0.805409067,0.999963031
CEP104,60.80878237,-0.269221828,0.424787617,-0.633779839,0.526224512,0.999963031
DFFB,4.682939492,-0.915750233,0.907017821,-1.009627608,0.312673737,0.999963031
C1orf174,25.33190374,-0.30155204,0.431594761,-0.69869254,0.484744197,0.999963031
LINC01134,0.738979682,0.430003269,2.862936477,0.150196581,0.880609524,0.999963031
NPHP4,22.67660947,0.770562834,0.670661814,1.148958862,0.250572944,0.999963031
KCNAB2,10.65161279,0.906655181,0.801692349,1.130926574,0.258085997,0.999963031
CHD5,0.753317182,-1.992135936,3.752119642,-0.530936144,0.59546303,0.999963031
RPL22,488.7145754,-0.257700848,0.529208477,-0.486955253,0.626290042,0.999963031
LOC102724450,2.422991496,-1.078107852,1.27486203,-0.845666297,0.39773893,0.999963031
RNF207,42.30507722,-0.513051787,0.670200547,-0.765519798,0.443962082,0.999963031
ICMT,163.8003587,0.157044073,0.30535552,0.514299111,0.607042883,0.999963031
