,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WASH7P,11.28759206,-0.030004139,0.938130695,-0.031982899,0.974485689,0.999924154
LOC729737,0.827229404,1.034834229,3.144324498,0.329111779,0.742071202,0.999924154
LOC100133331,2.929468539,1.962937514,1.530203716,1.282794894,0.199563944,0.999924154
LOC100288069,0.161677757,-3.780530416,6.305536018,-0.599557342,0.548801284,0.999924154
LINC00115,5.637911288,2.445118517,1.627794976,1.50210472,0.133070066,0.999924154
LINC01128,14.01150455,0.190613779,0.689028385,0.276641403,0.78205547,0.999924154
LINC02593,3.264882957,-0.823196262,1.077623293,-0.763899841,0.444926932,0.999924154
SAMD11,11.52926457,-1.169545505,0.795812179,-1.469625041,0.141663335,0.999924154
NOC2L,102.4706737,-0.360333581,0.462983325,-0.778286304,0.436400248,0.999924154
KLHL17,17.32072131,-0.306525847,0.76891669,-0.39864637,0.690153789,0.999924154
PLEKHN1,6.869796053,-1.159793142,1.019178856,-1.137968213,0.255133756,0.999924154
PERM1,2.373526739,-0.043277255,1.591250302,-0.027197013,0.978302598,0.999924154
HES4,9.364809968,0.064760962,0.97305012,0.066554601,0.946936289,0.999924154
ISG15,11.12824256,-0.047243223,0.837965275,-0.056378498,0.955040286,0.999924154
AGRN,472.7294754,-0.665232681,0.912111453,-0.72933267,0.465798193,0.999924154
LOC100288175,50.92193053,0.705741409,0.906959958,0.778139545,0.436486752,0.999924154
C1orf159,17.83184463,-0.011569452,0.519001971,-0.022291731,0.982215245,0.999924154
SDF4,268.9806417,-0.496996782,0.439584659,-1.130605383,0.258221221,0.999924154
B3GALT6,39.54235694,0.036278288,0.452171943,0.080231179,0.936053393,0.999924154
C1QTNF12,1.756875198,-0.587398409,2.209775947,-0.265818084,0.790379315,0.999924154
UBE2J2,68.76024973,-0.311539538,0.450566152,-0.691440173,0.489288965,0.999924154
SCNN1D,6.184047035,0.606646403,1.083738985,0.55977169,0.575635176,0.999924154
ACAP3,91.74244089,-0.299974574,0.53257078,-0.563257665,0.573259441,0.999924154
SNORD167,0.999671999,0.561417743,3.963914139,0.141632165,0.887370559,0.999924154
PUSL1,15.56259545,-0.430952526,0.729128336,-0.591051677,0.554485796,0.999924154
INTS11,85.21161454,-0.024351692,0.400952843,-0.060734553,0.951570613,0.999924154
CPTP,24.39444872,-0.555650687,0.537420865,-1.03392094,0.301173125,0.999924154
