sample_name	Class
Mock_2h_Rep1	N2h
Mock_2h_Rep2	N2h
Mock_2h_Rep3	N2h
Mock_4h_Rep1	N4h
Mock_4h_Rep2	N4h
Mock_4h_Rep3	N4h
Mock_6h_Rep1	N6h
Mock_6h_Rep2	N6h
Mock_6h_Rep3	N6h
Mock_9h_Rep1	N9h
Mock_9h_Rep2	N9h
Mock_9h_Rep3	N9h
Mock_12h_Rep1	N12h
Mock_12h_Rep2	N12h
Mock_12h_Rep3	N12h
Mock_24h_Rep1	N24h
Mock_24h_Rep2	N24h
Mock_24h_Rep3	N24h
SARS-CoV-2_2h_Rep1	S2h
SARS-CoV-2_2h_Rep2	S2h
SARS-CoV-2_2h_Rep3	S2h
SARS-CoV-2_4h_Rep1	S4h
SARS-CoV-2_4h_Rep2	S4h
SARS-CoV-2_4h_Rep3	S4h
SARS-CoV-2_6h_Rep1	S6h
SARS-CoV-2_6h_Rep2	S6h
SARS-CoV-2_6h_Rep3	S6h
SARS-CoV-2_9h_Rep1	S9h
SARS-CoV-2_9h_Rep2	S9h
SARS-CoV-2_9h_Rep3	S9h
SARS-CoV-2_12h_Rep2	S12h
SARS-CoV-2_12h_Rep3	S12h
SARS-CoV-2_24h_Rep1	S24h
SARS-CoV-2_24h_Rep2	S24h
SARS-CoV-2_24h_Rep3	S24h
